epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2594,2.27771,4.74882,2.13513,0.00843,0.95556,0.10552,0.0332,2.00081,4.62243,1.92187,8e-05,8e-05,8e-05
2,47.8666,1.43729,3.24164,1.58945,0.00843,0.95556,0.36799,0.17252,1.76514,4.3084,1.88929,0.000178218,0.000178218,0.000178218
3,71.7374,1.08541,2.48079,1.31241,0.00824,0.93333,0.33983,0.17199,2.03025,4.60199,2.12531,0.000274456,0.000274456,0.000274456
4,95.5688,1.17773,2.5249,1.48858,0.00804,0.91111,0.44155,0.21439,1.40346,3.95484,1.6771,0.000368714,0.000368714,0.000368714
5,118.226,1.22995,2.42357,1.37129,0.00863,0.97778,0.5281,0.273,1.05985,3.69932,1.47229,0.000460992,0.000460992,0.000460992
6,141.002,0.97019,2.10386,1.23897,0.00843,0.95556,0.67645,0.36406,1.09263,3.67096,1.46186,0.00055129,0.00055129,0.00055129
7,163.524,0.91816,2.75761,1.26485,0.00863,0.97778,0.54055,0.31872,1.18417,4.05703,1.47925,0.000639608,0.000639608,0.000639608
8,186.069,1.01691,2.62467,1.36728,0.00863,0.97778,0.54055,0.31872,1.18417,4.05703,1.47925,0.000725946,0.000725946,0.000725946
9,208.807,0.90132,2.05522,1.19935,0.00882,1,0.87743,0.59319,0.78972,3.12482,1.16065,0.000810304,0.000810304,0.000810304
10,232.005,0.81164,1.85024,1.17612,0.94474,0.75988,0.91737,0.66815,0.77767,2.66913,1.12808,0.000892682,0.000892682,0.000892682
11,254.717,0.86933,1.9982,1.21389,0.94474,0.75988,0.91737,0.66815,0.77767,2.66913,1.12808,0.00097308,0.00097308,0.00097308
12,277.387,0.93406,1.56311,1.17665,0.91762,0.77778,0.92414,0.66236,0.78676,2.56375,1.1989,0.0010515,0.0010515,0.0010515
13,300.321,0.94441,2.10138,1.3259,0.91762,0.77778,0.92414,0.66236,0.78676,2.56375,1.1989,0.00112794,0.00112794,0.00112794
14,322.958,0.98371,1.62531,1.11406,0.91762,0.77778,0.92414,0.66236,0.78676,2.56375,1.1989,0.00120239,0.00120239,0.00120239
15,345.688,0.895,1.77531,1.1792,0.936,0.65017,0.92234,0.58945,1.11189,2.97797,1.45899,0.00127487,0.00127487,0.00127487
16,368.767,1.00996,1.79412,1.11093,0.936,0.65017,0.92234,0.58945,1.11189,2.97797,1.45899,0.00134537,0.00134537,0.00134537
17,391.348,0.9912,1.90226,1.19139,0.936,0.65017,0.92234,0.58945,1.11189,2.97797,1.45899,0.00141389,0.00141389,0.00141389
18,413.971,1.11447,1.91001,1.328,0.3894,0.26667,0.24413,0.1149,1.31288,4.00574,1.45384,0.00148043,0.00148043,0.00148043
19,436.44,1.04997,1.84819,1.32279,0.3894,0.26667,0.24413,0.1149,1.31288,4.00574,1.45384,0.00154498,0.00154498,0.00154498
20,459.069,0.98072,1.9158,1.16163,0.3894,0.26667,0.24413,0.1149,1.31288,4.00574,1.45384,0.00160756,0.00160756,0.00160756
21,481.739,0.90856,1.73891,1.0578,0.42607,0.42222,0.40454,0.22465,1.25966,3.55111,1.5038,0.001604,0.001604,0.001604
22,504.289,1.33343,2.55022,1.58466,0.42607,0.42222,0.40454,0.22465,1.25966,3.55111,1.5038,0.0015842,0.0015842,0.0015842
