epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9334,1.3978,2.97908,1.42762,0.66249,0.24288,0.54448,0.33995,0.99019,3.62063,1.25381,0.00065641,0.00065641,0.00065641
2,80.7697,1.08847,2.40023,1.21782,0.13315,0.10991,0.05041,0.01676,2.18067,10.3962,2.74822,0.00130998,0.00130998,0.00130998
3,120.372,1.05151,2.10069,1.20488,0.28332,0.25693,0.23483,0.1384,1.45772,3.67272,1.66272,0.00195035,0.00195035,0.00195035
4,159.926,1.05917,2.03244,1.20265,0.58454,0.6635,0.65998,0.4015,1.06453,3.10997,1.27613,0.0019406,0.0019406,0.0019406
5,199.592,1.04892,1.98893,1.17998,0.61955,0.72915,0.70157,0.46244,1.07689,2.46225,1.23132,0.0019208,0.0019208,0.0019208
6,238.673,1.02909,1.71157,1.14211,0.60702,0.74491,0.64883,0.43865,0.98886,2.33884,1.17304,0.001901,0.001901,0.001901
7,278.076,1.00155,1.64501,1.13197,0.60864,0.76811,0.67643,0.49312,0.85658,2.57421,1.07671,0.0018812,0.0018812,0.0018812
8,317.096,0.95645,1.43777,1.08949,0.32006,0.39344,0.34482,0.2316,1.08782,2.3648,1.27577,0.0018614,0.0018614,0.0018614
9,356.126,0.94992,1.45649,1.13487,0.69189,0.87788,0.75364,0.56784,0.82553,1.60487,1.04325,0.0018416,0.0018416,0.0018416
10,395.982,0.95484,1.41533,1.10303,0.68462,0.81884,0.76184,0.5711,0.79233,1.57101,1.04405,0.0018218,0.0018218,0.0018218
11,435.385,0.91154,1.27085,1.07756,0.70197,0.88844,0.76656,0.58629,0.81706,1.46467,1.03121,0.001802,0.001802,0.001802
12,474.339,0.92074,1.24879,1.0929,0.72966,0.90458,0.84095,0.63532,0.76692,1.26279,1.01021,0.0017822,0.0017822,0.0017822
13,513.519,0.91151,1.18016,1.05158,0.70527,0.88316,0.81534,0.61407,0.81395,1.36563,1.0413,0.0017624,0.0017624,0.0017624
14,552.69,0.91158,1.11681,1.09526,0.70737,0.92537,0.79639,0.57357,0.92126,1.51375,1.10153,0.0017426,0.0017426,0.0017426
15,591.73,0.8601,1.10708,1.05912,0.60523,0.43826,0.50476,0.37909,0.92144,1.91388,1.12807,0.0017228,0.0017228,0.0017228
16,630.801,0.8424,0.97924,1.01988,0.55258,0.47928,0.48648,0.33868,1.01799,1.83236,1.16333,0.001703,0.001703,0.001703
17,670.299,0.82955,0.97823,1.03821,0.66078,0.77341,0.69017,0.51509,0.88585,1.47033,1.07289,0.0016832,0.0016832,0.0016832
18,709.694,0.8459,1.01551,1.05173,0.75372,0.9717,0.85086,0.68301,0.68676,1.15204,0.95598,0.0016634,0.0016634,0.0016634
19,749.282,0.80942,0.97594,1.00883,0.64363,0.76948,0.71888,0.544,0.77973,1.37638,1.02549,0.0016436,0.0016436,0.0016436
20,789.11,0.82622,0.98411,1.01925,0.75378,0.96744,0.89832,0.70478,0.71234,1.13314,0.95664,0.0016238,0.0016238,0.0016238
21,828.792,0.84066,1.03965,1.03071,0.71466,0.83259,0.7593,0.59844,0.74486,1.17974,0.9918,0.001604,0.001604,0.001604
22,868.249,0.7857,0.93741,1.00804,0.73452,0.87471,0.79016,0.63461,0.69577,1.20288,0.96433,0.0015842,0.0015842,0.0015842
23,908.396,0.81782,0.86946,1.01806,0.76463,0.96472,0.89831,0.71544,0.68394,1.00994,0.96683,0.0015644,0.0015644,0.0015644
24,948.582,0.78871,0.91777,1.00069,0.75574,0.96557,0.88565,0.71145,0.65848,1.20308,0.93914,0.0015446,0.0015446,0.0015446
25,988.775,0.80172,0.91139,1.01432,0.75862,0.95387,0.88207,0.69873,0.71581,1.01124,0.9737,0.0015248,0.0015248,0.0015248
26,1028.78,0.76292,0.87382,1.00469,0.75225,0.95929,0.87333,0.70348,0.65355,1.07438,0.9498,0.001505,0.001505,0.001505
27,1068.79,0.75962,0.85958,1.0011,0.75772,0.95658,0.88274,0.7051,0.6641,1.06139,0.93833,0.0014852,0.0014852,0.0014852
28,1108.77,0.74337,0.85698,0.98396,0.74528,0.97151,0.88314,0.69996,0.70634,1.12244,0.97831,0.0014654,0.0014654,0.0014654
29,1148.88,0.78583,0.83419,0.99107,0.73102,0.91045,0.84508,0.64537,0.77484,1.10024,0.98713,0.0014456,0.0014456,0.0014456
30,1188.88,0.76535,0.8329,1.00273,0.76017,0.96065,0.89571,0.72568,0.64564,0.94768,0.93297,0.0014258,0.0014258,0.0014258
31,1229.09,0.76913,0.80595,0.98813,0.75171,0.96201,0.89402,0.72846,0.65087,1.04203,0.93167,0.001406,0.001406,0.001406
32,1269.29,0.76916,0.90919,0.99534,0.75359,0.96273,0.89392,0.73342,0.6408,1.00515,0.92925,0.0013862,0.0013862,0.0013862
33,1309.48,0.74767,0.77853,0.97864,0.76836,0.9905,0.90808,0.75314,0.62236,0.96144,0.91745,0.0013664,0.0013664,0.0013664
34,1349.7,0.72319,0.8182,0.97343,0.76562,0.96625,0.895,0.75341,0.5935,1.00105,0.91121,0.0013466,0.0013466,0.0013466
35,1390.12,0.72259,0.79875,0.97476,0.75796,0.99001,0.90548,0.74484,0.61119,0.86664,0.91427,0.0013268,0.0013268,0.0013268
36,1430.14,0.72184,0.75367,0.98461,0.75312,0.95198,0.87347,0.73279,0.59805,1.08302,0.91192,0.001307,0.001307,0.001307
37,1470.1,0.73862,0.75822,0.98288,0.76734,0.90231,0.87885,0.72158,0.62986,1.11358,0.93264,0.0012872,0.0012872,0.0012872
38,1510.58,0.7,0.73694,0.96246,0.74694,0.87381,0.84779,0.6973,0.62465,1.07851,0.9264,0.0012674,0.0012674,0.0012674
39,1550.72,0.69534,0.74506,0.96266,0.76833,0.95794,0.89658,0.76124,0.59158,0.99703,0.92027,0.0012476,0.0012476,0.0012476
40,1590.8,0.7008,0.73534,0.96932,0.7754,0.97903,0.89325,0.76147,0.58102,0.95334,0.90115,0.0012278,0.0012278,0.0012278
41,1631.05,0.70497,0.72781,0.94723,0.78257,0.99186,0.91535,0.77351,0.58294,0.92033,0.90037,0.001208,0.001208,0.001208
42,1670.9,0.70705,0.75625,0.97366,0.76268,0.96472,0.88141,0.73754,0.58227,0.9438,0.9063,0.0011882,0.0011882,0.0011882
43,1710.63,0.71278,0.73411,0.97322,0.7691,0.98236,0.91822,0.77114,0.59478,0.91233,0.91357,0.0011684,0.0011684,0.0011684
44,1750.87,0.70924,0.80317,0.95881,0.75755,0.96663,0.89759,0.73899,0.59538,0.88555,0.90995,0.0011486,0.0011486,0.0011486
45,1791.42,0.69099,0.79704,0.95527,0.74933,0.98156,0.88405,0.73222,0.59407,0.88429,0.90918,0.0011288,0.0011288,0.0011288
46,1832.72,0.68603,0.74601,0.95518,0.78084,0.99105,0.92535,0.7812,0.57207,0.93367,0.89748,0.001109,0.001109,0.001109
47,1873.67,0.70991,0.74125,0.97274,0.75699,0.92564,0.89586,0.73724,0.60804,0.895,0.91672,0.0010892,0.0010892,0.0010892
48,1915.19,0.69042,0.70732,0.95038,0.78324,0.99864,0.92778,0.77429,0.58959,0.89347,0.89972,0.0010694,0.0010694,0.0010694
49,1955.02,0.67608,0.75883,0.95459,0.76925,0.95794,0.90259,0.75636,0.5679,0.9358,0.89467,0.0010496,0.0010496,0.0010496
50,1994.97,0.65635,0.70915,0.95633,0.77636,0.97965,0.91846,0.76336,0.58799,0.89841,0.90301,0.0010298,0.0010298,0.0010298
51,2034.58,0.6577,0.69842,0.94005,0.77647,0.98036,0.92246,0.78146,0.57019,0.89831,0.90336,0.00101,0.00101,0.00101
